date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,Result(home_team),,home advantage,,home-score(skaliert),away_score(skaliert)
20/02/2000,Costa Rica,Trinidad and Tobago,1,2,Gold Cup,San Diego,United States,TRUE,-1,,0,,0.032258065,0.095238095
20/02/2000,Lesotho,Eswatini,1,0,Friendly,Maseru,Lesotho,FALSE,1,,1,,0.032258065,0
20/02/2000,Macau,Japan,0,3,AFC Asian Cup qualification,Macau,Macau,FALSE,-1,,1,,0,0.142857143
20/02/2000,Mexico,Canada,1,2,Gold Cup,San Diego,United States,TRUE,-1,,0,,0.032258065,0.095238095
20/02/2000,Singapore,Brunei,1,0,AFC Asian Cup qualification,Macau,Macau,TRUE,1,,0,,0.032258065,0
20/02/2000,Thailand,Finland,0,0,King's Cup,Bangkok,Thailand,FALSE,0,,1,,0,0
20/02/2000,Kernow,Guernsey,1,2,Friendly,Cornwall,England,FALSE,-1,,0,,0.032258065,0.095238095
21/02/2000,Oman,United Arab Emirates,0,1,Friendly,Muscat,Oman,FALSE,-1,,1,,0,0.047619048
23/02/2000,Belgium,Portugal,1,1,Friendly,Charleroi,Belgium,FALSE,0,,1,,0.032258065,0.047619048
23/02/2000,Colombia,Peru,2,1,Gold Cup,San Diego,United States,TRUE,1,,0,,0.064516129,0.047619048
23/02/2000,Croatia,Spain,0,0,Friendly,Split,Croatia,FALSE,0,,1,,0,0
23/02/2000,England,Argentina,0,0,Friendly,London,England,FALSE,0,,1,,0,0
23/02/2000,Estonia,Finland,2,4,King's Cup,Bangkok,Thailand,TRUE,-1,,0,,0.064516129,0.19047619
23/02/2000,France,Poland,1,0,Friendly,Saint-Denis,France,FALSE,1,,1,,0.032258065,0
23/02/2000,Greece,Austria,4,1,Friendly,Kalamáta,Greece,FALSE,1,,1,,0.129032258,0.047619048
23/02/2000,Hungary,Australia,0,3,Friendly,Budapest,Hungary,FALSE,-1,,1,,0,0.142857143
23/02/2000,Republic of Ireland,Czech Republic,3,2,Friendly,Dublin,Republic of Ireland,FALSE,1,,1,,0.096774194,0.095238095
23/02/2000,Israel,Russia,4,1,Friendly,Haifa,Israel,FALSE,1,,1,,0.129032258,0.047619048
23/02/2000,Italy,Sweden,1,0,Friendly,Palermo,Italy,FALSE,1,,1,,0.032258065,0
23/02/2000,Lebanon,Jordan,1,1,Friendly,Tripoli,Lebanon,FALSE,0,,1,,0.032258065,0.047619048
23/02/2000,Luxembourg,Northern Ireland,1,3,Friendly,Luxembourg,Luxembourg,FALSE,-1,,1,,0.032258065,0.142857143
23/02/2000,North Macedonia,Serbia,1,2,Friendly,Skopje,North Macedonia,FALSE,-1,,1,,0.032258065,0.095238095
23/02/2000,Netherlands,Germany,2,1,Friendly,Amsterdam,Netherlands,FALSE,1,,1,,0.064516129,0.047619048
23/02/2000,Oman,Slovenia,0,4,Friendly,Muscat,Oman,FALSE,-1,,1,,0,0.19047619
23/02/2000,Qatar,Wales,0,1,Friendly,Doha,Qatar,FALSE,-1,,1,,0,0.047619048
23/02/2000,Thailand,Brazil,0,7,King's Cup,Bangkok,Thailand,FALSE,-1,,1,,0,0.333333333
23/02/2000,Turkey,Norway,0,2,Friendly,Istanbul,Turkey,FALSE,-1,,1,,0,0.095238095
23/02/2000,United Arab Emirates,Switzerland,1,0,Friendly,Muscat,Oman,TRUE,1,,0,,0.032258065,0
24/02/2000,Trinidad and Tobago,Canada,0,1,Gold Cup,Los Angeles,United States,TRUE,-1,,0,,0,0.047619048
25/02/2000,British Virgin Islands,Anguilla,3,4,Friendly,Road Town,British Virgin Islands,FALSE,-1,,1,,0.096774194,0.19047619
25/02/2000,Thailand,Estonia,2,1,King's Cup,Bangkok,Thailand,FALSE,1,,1,,0.064516129,0.047619048
27/02/2000,Botswana,Lesotho,1,0,Friendly,Gaborone,Botswana,FALSE,1,,1,,0.032258065,0
27/02/2000,British Virgin Islands,Anguilla,5,0,Friendly,Road Town,British Virgin Islands,FALSE,1,,1,,0.161290323,0
27/02/2000,Canada,Colombia,2,0,Gold Cup,Los Angeles,United States,TRUE,1,,0,,0.064516129,0
27/02/2000,Thailand,Finland,5,1,King's Cup,Bangkok,Thailand,FALSE,1,,1,,0.161290323,0.047619048
29/02/2000,Barbados,Antigua and Barbuda,2,2,Friendly,Bridgetown,Barbados,FALSE,0,,1,,0.064516129,0.095238095
29/02/2000,El Salvador,Panama,3,1,Friendly,San Salvador,El Salvador,FALSE,1,,1,,0.096774194,0.047619048
29/02/2000,Uzbekistan,Mongolia,8,1,Friendly,Tashkent,Uzbekistan,FALSE,1,,1,,0.258064516,0.047619048
01/03/2000,Zambia,Lesotho,2,0,Friendly,Lusaka,Zambia,FALSE,1,,1,,0.064516129,0
04/03/2000,Honduras,Nicaragua,3,0,FIFA World Cup qualification,San Pedro Sula,Honduras,FALSE,1,,1,,0.096774194,0
04/03/2000,Trinidad and Tobago,Curaçao,5,0,FIFA World Cup qualification,Macoya,Trinidad and Tobago,FALSE,1,,1,,0.161290323,0
05/03/2000,Anguilla,Bahamas,1,3,FIFA World Cup qualification,The Valley,Anguilla,FALSE,-1,,1,,0.032258065,0.142857143
05/03/2000,Barbados,Grenada,2,2,FIFA World Cup qualification,Bridgetown,Barbados,FALSE,0,,1,,0.064516129,0.095238095
05/03/2000,Bolivia,Haiti,9,2,Friendly,La Paz,Bolivia,FALSE,1,,1,,0.290322581,0.095238095
05/03/2000,British Virgin Islands,Bermuda,1,5,FIFA World Cup qualification,Road Town,British Virgin Islands,FALSE,-1,,1,,0.032258065,0.238095238
05/03/2000,Cuba,Cayman Islands,4,0,FIFA World Cup qualification,Havana,Cuba,FALSE,1,,1,,0.129032258,0
05/03/2000,Dominican Republic,Montserrat,3,0,FIFA World Cup qualification,San Cristóbal,Dominican Republic,FALSE,1,,1,,0.096774194,0
05/03/2000,El Salvador,Belize,5,0,FIFA World Cup qualification,San Salvador,El Salvador,FALSE,1,,1,,0.161290323,0
05/03/2000,Ethiopia,Sudan,1,0,Friendly,Addis Ababa,Ethiopia,FALSE,1,,1,,0.032258065,0
05/03/2000,Saint Lucia,Suriname,1,0,FIFA World Cup qualification,Castries,Saint Lucia,FALSE,1,,1,,0.032258065,0
05/03/2000,Saint Vincent and the Grenadines,United States Virgin Islands,9,0,FIFA World Cup qualification,Kingstown,Saint Vincent and the Grenadines,FALSE,1,,1,,0.290322581,0
05/03/2000,Zimbabwe,Lesotho,2,1,COSAFA Cup,Harare,Zimbabwe,FALSE,1,,1,,0.064516129,0.047619048
06/03/2000,Syria,Jordan,0,0,Friendly,Damascus,Syria,FALSE,0,,1,,0,0
08/03/2000,Ecuador,Honduras,1,3,Friendly,Quito,Ecuador,FALSE,-1,,1,,0.032258065,0.142857143
08/03/2000,Jordan,Lebanon,1,1,Friendly,Amman,Jordan,FALSE,0,,1,,0.032258065,0.047619048
09/03/2000,Cuba,Nicaragua,4,0,Friendly,Havana,Cuba,FALSE,1,,1,,0.129032258,0
